MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367597470,2024-08-01T00:00:00,38.94872,-74.90901,0.0,295.7,291.0,BULLDOG SALLY,,WDJ2058,30,0,17,7,0.0,30,A
373662000,2024-08-01T00:00:00,40.51463,-73.61723,0.0,107.6,216.0,BALSA 87,IMO9616022,3EWS,70,1,106,19,4.6,70,A
367379320,2024-08-01T00:00:00,42.33651,-71.00152,27.4,326.6,325.0,AURORA,IMO8994128,WDE6368,40,0,37,10,2.0,40,A
366836590,2024-08-01T00:00:00,41.29396,-72.90443,0.0,311.3,511.0,ELLEN MCALLISTER,IMO8980892,WDG3673,52,0,35,10,0.0,52,A
368091960,2024-08-01T00:00:00,40.64666,-74.02715,1.6,303.4,49.0,JEWEL OF THE HARBOR,IMO123456789,WDK8213,40,0,29,10,0.0,40,A
367677670,2024-08-01T00:00:00,42.38137,-71.04770,0.1,270.0,14.0,SANCTUARY,IMO8994104,WDI2390,40,0,29,9,1.5,40,A
367531660,2024-08-01T00:00:00,40.60286,-74.03664,39.7,337.5,511.0,FDNY27SAFE,,WDG3978,51,0,8,4,0.0,51,A
368247060,2024-08-01T00:00:00,38.96685,-74.96671,10.6,92.4,511.0,STARLIGHT,,WDM8852,60,0,29,9,2.5,60,A
368270390,2024-08-01T00:00:00,40.44929,-73.61638,4.2,33.5,36.0,GO SEEKER,IMO9579157,WDN3304,70,0,48,14,3.0,70,A
367668090,2024-08-01T00:00:00,40.95538,-73.57634,7.1,61.6,62.0,NAVIGATOR,IMO8999776,WDH9440,31,0,78,10,3.0,31,A
367012530,2024-08-01T00:00:00,39.27263,-74.97982,0.0,284.3,511.0,CAPT HARRY,IMO9266401,WDC3690,52,0,24,11,4.0,52,A
368081160,2024-08-01T00:00:00,40.70411,-74.00042,8.3,236.9,237.0,TRAVERSITY,,WDK7099,60,0,29,8,2.0,60,A
368197680,2024-08-01T00:00:00,40.73581,-73.97442,0.0,360.0,511.0,UNITY,,WDM3489,37,0,14,6,0.0,37,A
366902260,2024-08-01T00:00:00,40.64102,-74.16420,0.0,308.2,182.0,CHRISTINE MCALLISTER,IMO7390985,WDB4780,52,0,41,12,6.0,52,A
368013770,2024-08-01T00:00:00,40.66306,-74.02198,32.3,187.5,199.0,COMMODORE,IMO9842243,WDJ8167,66,0,45,12,1.2,66,A
368291370,2024-08-01T00:00:00,41.13834,-70.46332,0.0,322.3,46.0,C-PIONEER,IMO9245940,WDN5589,90,0,152,35,15.0,90,A
367000140,2024-08-01T00:00:00,40.64788,-74.06098,14.1,216.0,221.0,SAMUEL I NEWHOUSE,IMO7702774,WYR3371,69,0,95,22,5.0,69,A
368009780,2024-08-01T00:00:00,40.67471,-74.07033,0.1,277.4,137.0,SEELEY,IMO8987113,WDJ7752,52,0,24,9,3.3,52,A
367662920,2024-08-01T00:00:00,40.70461,-74.00360,0.1,161.8,511.0,HORNBLOWER SENSATION,,WDH8927,60,0,36,12,3.0,60,A
368216040,2024-08-01T00:00:00,41.19148,-71.57911,0.2,291.8,198.0,STELLA LUNA,IMO111000000,WDM5450,37,0,21,7,2.2,37,A
367000110,2024-08-01T00:00:00,40.64309,-74.07074,0.0,1.0,87.0,JOHN A NOBLE,IMO8643054,WTZ3863,69,0,63,14,2.2,60,A
368123070,2024-08-01T00:00:00,40.65959,-74.02211,20.7,37.9,36.0,RIVER SPRINTER,,WDL3584,40,0,26,8,0.0,40,A
205644000,2024-08-01T00:00:00,41.17658,-71.09594,0.1,11.0,195.0,SOVEREIGN,IMO9262742,ORQW,52,0,67,15,6.9,52,A
366744020,2024-08-01T00:00:00,40.77949,-73.93194,4.9,90.4,511.0,MARY ALICE,IMO7402738,WCX9570,31,0,30,8,4.9,31,A
